Time,Settle,Surcharge
0,0,1.33
4,7.7,1.33
8,10.7,1.33
11,20.4,1.33
15,29.5,1.33
17,36.5,1.33
22,42.9,1.33
24,48,1.33
29,53.4,1.33
31,58.6,1.33
36,66,1.33
38,69.5,1.33
42,70.9,1.33
45,77.7,1.33
50,83.7,1.33
53,89.2,1.33
56,92.5,1.33
59,95.4,1.33
63,96.6,1.33
66,97.4,1.33
70,98.7,1.33
73,100.6,1.33
77,109.0583333,1.33
80,115.825,1.33
84,120.9,1.33
87,122.6,1.33
90,125.7,1.33
94,129.7,1.33
97,132.5,1.33
100,135,1.33
104,138,1.33
107,141.5,1.33
120,154.4,1.33
122,156.2,1.33
125,159.3,1.33
128,162.2,1.33
132,164.4,1.33
135,167.3,1.33
139,170.6,1.33
142,173.3090909,1.33
147,175.5,1.33
150,177.6,1.33
154,181.4,1.33
156,183.8,1.33
160,185.6,1.33
163,188,1.33
167,190.7,1.33
170,192.6,1.33
175,193.7,1.33
178,195.2,1.33
181,199.9,1.33
184,201.9,1.33
188,204,1.33
191,205.9,1.33
195,208.3,1.33
198,210.3,1.33
203,212.6,1.33
207,214.3,1.33
213,216.7,1.33
216,218.5,1.33
221,220.6,1.33
224,222.3,1.33
227,224.6,1.33
230,226.4,1.33
234,228.1,1.33
238,230.4,1.33
241,232.3,1.33
245,233.9,1.33
248,235,1.33
252,236.9,1.33
255,237.7,1.33
258,239.2,1.33
261,240.5,1.33
265,242.2,1.33
268,243.2,1.33
272,244.4,1.33
275,245.6,1.33
279,247.1,1.33
282,248,1.33
286,249.3,1.33
289,250.3,1.33
293,252.1,1.33
296,253.5,1.33
300,255.4,1.33
303,256.9,1.33
308,259.2,1.33
311,262.9,1.33
315,268.3,1.33
318,272.9,1.33
322,279.5,1.33
325,284.6,1.33
328,288.7,1.33
331,290.7,1.33
338,292.9,1.33
342,294.6,2.287
345,295.9,2.287
349,297.7,2.287
352,299.2,2.287
357,306.5,3.92
361,311.9,3.92
364,317,3.92
367,321.9,3.92
371,326.4,3.92
374,329.9,3.92
378,333.6,3.92
381,336,3.92
384,337.6,3.92
387,338.9,3.92
391,343.3,3.92
394,346.1,3.92
398,349.6,3.92
401,352.7,3.92
405,355.6,3.92
408,357.5,3.92
413,360.8,3.92
415,362.1,3.92
420,366.1,3.92
423,368.3,3.92
426,370.7,3.92
429,372.7,3.92
433,375.4,3.92
436,377.4,3.92
440,380,3.92
444,382.3,3.92
447,383.8,3.92
450,385.5,3.92
455,388.2,3.92
457,389.1,3.92
461,391.5,3.92
464,393.2,3.92
471,397.3,3.92
475,399.8,3.92
479,402.1,3.92
483,404.2,3.92
486,405.6,3.92
489,407.3,3.92
492,408.3,5.2
496,412.3,5.2
499,415.7,5.2
504,418.7,5.2
507,421,5.2
511,423.7,5.2
514,426,5.2
517,428.6,5.2
520,430.8,5.2
525,433.7,5.2
528,436.1,5.2
532,437,5.2
534,438.3,5.2
538,440.8,5.2
541,442,5.2
545,444.1,5.2
548,445.6,5.2
552,448.1,5.2
555,449.7,5.2
559,451.9,5.2
562,454.7,5.2
566,456.5,5.2
569,458.4,5.2
573,460.2,5.2
576,461.5,5.2
580,463.2,5.2
583,464.3,5.2
588,468.2,5.2
590,470.3,5.2
595,470.7,5.2
598,470.9,5.2
602,471.9,5.2
605,472.6,5.2
609,473.8,5.2
612,474.6,5.2
615,475.2,5.2
618,475.8,5.2
623,476.8,5.2
626,477.6,5.2
629,478.3,5.2
632,479.2,5.2
636,480.6,5.2
639,480.6,5.2
643,480.7,5.2
646,480.7,5.2
650,480.7,5.2
